initialSupply,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,
id,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,26,,27,,29,,30,,31,,32,
address,0x7e5f14b0910abd7b361d2df7770a5aa3a853ef59,,0x9431992525510a6852E82Fc1fb908daa0fe5fFCB,,0x5ac15459f86b40234886d3a849c5c05350cbc728,,0xB3eb5b872B31Df7baC73472f79b0d4Ac98f2A357,,0x32c18a134ae970ebac5e68a616abd6f8600bf581,,0x502527431B8F5d3cDE71569ea810d19441952B48,,0x57D2F0F2f40ef3acBFfbAd33EBf08E6389A25863,,0x621457D175Ef4f6AA1e8a62D5Ba2C62D62985f58,,0x269237ac2e66a54688bd113230718fd0e2cf0470,,0x2199ff95d6c9c7649724f781d948049f815edd03,,0x5D10F7bbbFB506De47A3e4C16A80b97EB2818b5c,,0x0e7580376ff927fefc5666ec486f1683fd4c5fc7,,0xCed8bfE934FB2C5937a8F65b1217E5e429165309,,0x8a31180c0eabcc747a32aaa3b1edef50e96bfd42,,0x654e0780777e2326193f5cda06a0b4d4dbb3a942,,0x80173fd91dfafce414f58fc44d5683e54bb143dc,
symbol,BRIAN,,GRACE,,KATY,,H3IDI,,ANTIMO,,TED,,TLDR,,SIRSU,,SAM,,PURP,,DANNY,,CAM,,SIMP,,KARO,,CHMQT,,DURKEN,
name,BrianToken,,GraceToken,,KatyToken,,H3idiToken,,AntimoToken,,TedToken,,tldrToken,,SirsuToken,,SamToken,,PurpToken,,Danny,,CameronUnlonelyToken,,SimpUnlonelyToken,,KaroUnlonelyToken,,ChamaquitoUnlonelyToken,,DurkenUnlonelyToken,
price,0.0006,,0.0005,,0.000625,,0.000525,,0.0005,,0.000625,,0.0006,,0.000625,,0.0006,,0.000625,,0.000475,,0.000625,,0.0005,,0.0006,,0.000625,,0.000575,
channelId,3,,15,,9,,5,,20,,27,,17,,25,,21,,37,,29,,32,,49,,48,,44,,43,
,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount
,0x2e21f5d32841cf8c7da805185a041400bf15f21a,400,0xb03f5438f9a243de5c3b830b7841ec315034cd5f,10,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,38,0x47d25240311c444e4534a968c9f0f82d262ae0b4,11,,,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,60,0x1a1c37c145a1eab58c43f003ebb55c18083b5987,10,0xb03f5438f9a243de5c3b830b7841ec315034cd5f,10,0xc256fce1dbde3dbe5cd66b5b96d58e3b655ab8fd,8,0xd200f441957820b8e3ce3dbba5295089c8855b39,496,,,0x0964256674e42d61f0ff84097e28f65311786ccb,25,0x61da82d341141dbafc8b536eedb23e7d83496c7c,5,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,17,0x32bea430631db4e416900db332f5431d265a954a,10,,
,0xee3ca4dd4ceb3416915eddc6cdadb4a6060434d4,400,0x1adc09fa9a173a13dc5b4e0f85d1edf7a8c10f50,10,0x61da82d341141dbafc8b536eedb23e7d83496c7c,23,0xee5a3e1c0049089683f6183cb5a4928085b330c0,5,,,0x1a1c37c145a1eab58c43f003ebb55c18083b5987,26,0x0aa34eb615ab330b64060ff9fa994e72a7a95b59,10,0xfa922ce609fed47950e3f48662c9651d42ada194,10,0x64104cdfd040a64bd5eda58b09020824d6cb5e56,4,0x98ccf605c43a0bf9d6795c3cf3b5fed836330511,249.25,,,0xe943ca883ef3294e0fc55a1a14591abead1b5927,25,0x4c2d94a4c307c225d3e3ceb352885d0d5eb07857,5,0xd0f46a5d48596409264d4efc1f3b229878fff743,15,0x11c47bb644cbaa54c7bc651d46b9b399da832171,6,,
,0x7e5f14b0910abd7b361d2df7770a5aa3a853ef59,395.5,0xee3ca4dd4ceb3416915eddc6cdadb4a6060434d4,5,0x7e3836411cb727ecf212071763e9ada4ef7cbcaa,20,0x32bea430631db4e416900db332f5431d265a954a,3,,,0x333d0ebc54707c0a9d92cac749b3094c28a0e111,25,0x5b172915fbf880db099b9e14635630e29d134ecb,5,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,6,,,0xfccaa7b17fe7d0d874d41de8d01654c5e2c9afd8,151,,,0x3eefaa9d6e2ab7972c1001d41c82bb4881389257,25,,,0x6db4d0682d7d7bb68bd00c774dbdd05b91925c13,15,,,,
,0xd7029bdea1c17493893aafe29aad69ef892b8ff2,255,0xec9dbe1cc156973b4581cd8d763dd46dd1376951,5,0x34bb9e91dc8ac1e13fb42a0e23f7236999e063d4,13,,,,,0x8a95d5f9ac0eebd5880199ea8fcd0fae845bbbf2,25,,,0x7ad252facf5f1115b22ea0a4d63e8770573d78a2,5,,,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,32,,,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,22,,,0xb97a251df2672b0e252b28a96857a8ace9929ccc,15,,,,
,0xce4eb76664210426e900c20d4a3741a6b0f64855,245,0x32bea430631db4e416900db332f5431d265a954a,5,0x4e1fff06de7922cf364ab3f17b9302c3f6ca029b,10,,,,,0x6db4d0682d7d7bb68bd00c774dbdd05b91925c13,25,,,,,,,0x9033b283f07e9ab12285f12d4001332bbfe06dc1,26,,,0xb03f5438f9a243de5c3b830b7841ec315034cd5f,15,,,0x11c47bb644cbaa54c7bc651d46b9b399da832171,10,,,,
,0x333d0ebc54707c0a9d92cac749b3094c28a0e111,180,0xe594469fde6ae29943a64f81d95c20f5f8eb2e04,5,0x6db4d0682d7d7bb68bd00c774dbdd05b91925c13,10,,,,,0x179a862703a4adfb29896552df9e307980d19285,25,,,,,,,0x2a0059610c92842dc2ef84af76b244c28687e647,23,,,0x61da82d341141dbafc8b536eedb23e7d83496c7c,10,,,0x9f047096230a77ecb10e693e34e37cb399136493,5,,,,
,0xed727248627fda303a1794f5da747215b6314330,146,0x34bb9e91dc8ac1e13fb42a0e23f7236999e063d4,5,0x444373add9432363680e5ae6233ff71383effe45,10,,,,,0x34bb9e91dc8ac1e13fb42a0e23f7236999e063d4,20,,,,,,,0xa2e9ec27b948d85b11f7935728cb68e11d73d8fd,23,,,0x9eab9d856a3a667dc4cd10001d59c679c64756e7,10,,,,,,,,
,0xbf74483db914192bb0a9577f3d8fb29a6d4c08ee,125,,,0xda02831b44724db065f3bb023016c0c86e9f70e1,8,,,,,0x10676738db9601c5af144a17c3a48c8ebda7e353,15,,,,,,,0x00acf1f79ff43b1ff5b4ff28b537cbf27445869f,23,,,0x5a927ac639636e534b678e81768ca19e2c6280b7,10,,,,,,,,
,0xb76eb3dfdc2c729967e6e5b2440698673d15e7ff,120,,,0x70deb64542e43e7fbbf05add57834ba32383aac7,5,,,,,0xa7860e99e3ce0752d1ac53b974e309fff80277c6,15,,,,,,,0xa223ba8ca7dfac73a8aaf58b500e67c5a582024e,23,,,0x281d479a15b92a87754316ec43d2817ccc2a22f1,10,,,,,,,,
,0x9eab9d856a3a667dc4cd10001d59c679c64756e7,120,,,0xd0f46a5d48596409264d4efc1f3b229878fff743,5,,,,,0xf34196597df209a04fc92b97071dcaabbc63f0e8,15,,,,,,,0x4444a136b1445b1f5e4a20656854adcf6fa3d667,23,,,0xb97a251df2672b0e252b28a96857a8ace9929ccc,10,,,,,,,,
